Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
South Sudan,0.042,49.0516561,8529,15493320082,193,0.105,0.1,0.119,51,0.5,6924455,0
Sudan,0.039,49.0516561,6370,13182872555,16,0.067,0,0.119,60,0,28434810,0
Swaziland,0.032,49.0516561,1144,1349326983,65,0.081,0,0.133,48,0.1,1074761,0
Tanzania,0.042,49.0516561,3128,10383560998,11,0.076,0,0.201,51,0,34895398,0
Togo,0.039,49.0516561,1162,1332328986,14,0.075,0,0.119,54,0,4992225,0
Tunisia,0.017,49.0516561,20818,22066101341,122,0.024,0,0.119,75,0,9673600,2
Uganda,0.048,49.0516561,1621,5840503703,17,0.085,0,0.227,49,0,25088033,0
Zambia,0.045,49.0516561,1907,3653822712,21,0.095,0,0.119,43,0,10362137,0
Zimbabwe,0.032,49.0516561,12563,6777384733,193,0.06,0,0.119,43,0,12586763,0
Afghanistan,0.049,49.0516561,645,2461666315,193,0.093,0,0.119,56,0.5,21347782,0
Armenia,0.013,49.0516561,3542,2118467913,41,0.025,0,0.119,75,0,3059960,2
Azerbaijan,0.014,49.0516561,28771,5707618247,31,0.057,0,0.197,70,0.1,8111200,0
Bangladesh,0.026,49.0516561,32457,46987842847,10,0.062,0,0.158,66,0,5971526,0
Bhutan,0.027,49.0516561,389,476360697,51,0.056,0,0.158,61,0.5,580888,0
Brunei Darussalam,0.022,49.0516561,6197,5601090584,525,0.008,0.1,0.055,78,0.4,339114,2
Cambodia,0.027,49.0516561,2252,3979813388,20,0.076,0,0.119,66,0,12472586,0
China,0.013,49.0516561,8529,15493320082,47,0.028,0,0.059,74,0.1,5971526,2
Georgia,0.012,49.0516561,3770,3219487823,54,0.029,0,0.223,76,0.1,4386400,2
"Hong Kong SAR, China",0.007,49.0516561,37972,1.69403E+11,193,0.02,0.4,0.051,85,0.8,6714300,1
India,0.025,49.0516561,8529,15493320082,21,0.064,0,0.121,64,0,5971526,0
Indonesia,0.021,49.0516561,8529,1.60447E+11,17,0.039,0,0.185,70,0,5971526,1
Japan,0.009,49.0516561,8529,15493320082,193,0.003,0.4,0.02,85,0.6,5971526,2
Kazakhstan,0.015,49.0516561,8529,22152689130,53,0.036,0,0.119,71,0,14858335,2
"Korea, Dem. Rep.",0.017,49.0516561,79475,15493320082,193,0.039,0.1,0.119,70,0.5,23043449,1
"Korea, Rep.",0.012,49.0516561,8529,15493320082,528,0.006,0.6,0.077,80,0.6,47357362,2
Kyrgyz Republic,0.02,49.0516561,3781,1525113501,15,0.04,0,0.119,73,0,4945100,0
